FICE,UT_SHORT_NAME,UT Institution,INST_ORDER,Year,SEMESTER,ACT Average Score,ACT_COMPOSITE_SCORE_25TH_PCT,ACT_COMPOSITE_SCORE_75TH_PCT,ACT_SCORE_MATH_25TH_PCT,ACT_SCORE_MATH_75TH_PCT,ACT_SCORE_VERBAL_25TH_PCT,ACT_SCORE_VERBAL_75TH_PCT,SAT Average Score,SAT_SCORE_MATH_25TH_PCT,SAT_SCORE_MATH_75TH_PCT,SAT_SCORE_VERBAL_25TH_PCT,SAT_SCORE_VERBAL_75TH_PCT,GRE Score Average,GRE Score 25th Pct,GRE Score 75th Pct,GMAT Average Score,GMAT Score 25th Pct,GMAT Score 75th Pct,LSAT_SCORE_AVG,LSAT_SCORE_25TH_PCT,LSAT_SCORE_75TH_PCT
3656,UT Arlington,UTA,1,2013,Fall,23,20,25,20,26,18,25,1060,490,610,450,570,300,292,309,509,455,570,,,
3656,UT Arlington,UTA,1,2014,Fall,22,19,25,19,26,17,24,1053,480,600,450,570,301,291,310,535,480,598,,,
3656,UT Arlington,UTA,1,2015,Fall,23,20,26,20,27,18,26,1075,490,610,460,590,303,294,312,526,470,590,,,
3656,UT Arlington,UTA,1,2016,Fall,23,20,26,20,26,18,25,1076,490,610,460,580,302,297,308,524,450,600,,,
3656,UT Arlington,UTA,1,2017,Fall,23,20,27,19,26,19,26,1162,530,640,530,630,302,297,308,543,480,610,,,
3656,UT Arlington,UTA,1,2018,Fall,23,20,26,19,26,19,25,1160,530,630,530,630,301,295,307,515,460,590,,,
3656,UT Arlington,UTA,1,2019,Fall,23,20,26,19,26,18,25,1147,520,630,520,620,302,296,308,534,490,600,,,
3658,UT Austin,UTAUS,2,2013,Fall,28,25,31,26,32,25,33,1261,590,710,550,670,314,304,324,654,610,700,166,163,168
3658,UT Austin,UTAUS,2,2014,Fall,29,26,31,26,33,26,33,1287,600,720,570,690,313,304,323,657,620,710,167,163,168
3658,UT Austin,UTAUS,2,2015,Fall,29,26,32,26,33,26,33,1283,600,720,570,690,314,304,324,660,610,690,167,162,169
3658,UT Austin,UTAUS,2,2016,Fall,29,26,32,26,33,25,33,1269,580,730,560,680,314,304,324,660,610,710,167,162,168
3658,UT Austin,UTAUS,2,2017,Fall,29,26,33,26,32,25,34,1264,580,710,560,680,313,304,322,654,610,710,167,161,168
3658,UT Austin,UTAUS,2,2018,Fall,30,27,33,26,32,26,35,1360,610,760,620,720,313,304,322,669,640,710,167,160,168
3658,UT Austin,UTAUS,2,2019,Fall,30,27,33,26,33,25,35,1345,610,760,620,720,315,308,324,667,630,710,166,165,169
30646,UT Brownsville,UTB,3,2013,Fall,18,17,20,16,22,16,21,907,420,510,390,490,283,281,300,,,,,,
30646,UT Brownsville,UTB,3,2014,Fall,19,17,21,17,22,16,22,925,430,510,410,500,289,283,298,,,,,,
